,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
FBA75686,AM-W10,B0B4G89VQJ,"Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube",Audio Array,IN,"₹ 13,216.96",4,₹ 0.00,₹ 0.00,4,1
FBA78974,AA-20,B0CF5RRTDJ,"Audio Array AA-20 Microphone Arm Stand | 81cm Reach | Premium light weight & slick design | Flexible height & position adjustments | 1kg Weight Capacity | 5/8"" to 3/8"" Screw Adapter | Cable Ties",Audio Array,IN,"₹ 11,858.46",7,₹ 0.00,₹ 0.00,7,1
FBA79010,AM-C42,B0CH4T2BJD,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,"₹ 11,816.96",6,₹ 0.00,₹ 0.00,6,4
FBA79844,PB-08 (AM-C1 + AI-04),B0FN7DYB2M,"Audio Array Podcast Bundle with USB Condenser Mic Kit, Audio Interface |192kHz/24bit Studio Quality, Plug & Play, Phantom Power, Real-Time Monitoring for Recording, Streaming & Podcasting - PB-08",Audio Array,IN,"₹ 11,438.99",2,₹ 0.00,₹ 0.00,3,2
FBA79960,AM-W47 Wireless,B0G3B152FR,"Audio Array Wireless Voice Amplifier 2026 Edition | Bluetooth 5.3 |10W Speaker With Wireless Mic | For Teachers, Tour Guides |10 Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wireless",Audio Array,IN,"₹ 11,095.76",7,₹ 0.00,₹ 0.00,7,1
FBA79653,AM-C45 Pro,B0DN6LJZBR,"Audio Array AM-C45 XLR/USB Pro RGB Dynamic Microphone Kit | 192kHz/24bit Studio Quality Output | Volume Control, Mute and Noise Cancellation | Realtime Monitoring for Streaming, Gaming & podcasting",Audio Array,IN,"₹ 10,166.95",3,₹ 0.00,₹ 0.00,3,1
FBA79820,AC-3XL,B0FQJWWDVK,"Audio Array AC-3XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (3 Meter/10 Feet)",Audio Array,IN,"₹ 9,394.03",25,₹ 0.00,₹ 0.00,25,1
FBA78424,AM-C37,B0C55MY66L,"Audio Array AM-C37 Premium USB/XLR Dynamic Podcast Microphone | Volume, Mute Controls & Headphone Monitoring | Premium Metal Build | 2 Meter USB Cable Included | 96kHz/24bit Studio Performance",Audio Array,IN,"₹ 9,025.43",3,₹ 0.00,₹ 0.00,3,1
FBA79016,AM-C3a,B0CH4R1V6S,"Audio Array AM-C3a Unidirectional Dynamic Handheld Karaoke Microphone | 20Hz - 20kHz Response | Karaoke Singing, Public Meetings, Studio Recording, Live Sound, Party (no Cable Included)",Audio Array,IN,"₹ 8,633.06",13,₹ 0.00,₹ 0.00,12,8
FBA79823,PB-01 (AM-C11 + AI-04),B0FJ2HZCVN,"Audio Array Ultimate Podcast Bundle | Dynamic Microphone with USB/XLR Connectivity & 24-Bit/192kHz Audio Interface | Ideal for Podcasting, Streaming, Voice Recording & Content Creation - PB-01",Audio Array,IN,"₹ 7,626.27",1,₹ 0.00,₹ 0.00,1,
FBA79980,AK-37-W,B0GN8MMKY1,"Audio Array AK-37 White MIDI Keyboard 37 Velocity Sensitive Keys, Built-in Speakers, 200 Presets, Sustain & Touch, Tempo, Octave/Transpose/Tune, Master Volume Knob, LED Display BT AA & Type-C Power",Audio Array,IN,"₹ 6,608.47",2,₹ 0.00,₹ 0.00,2,2
FBA79958,AM-W24,B0G3Q59X8C,"Audio Array AM-W24 2026 Edition Magnetic Wireless 5gm Mic with Slide Charging Case for iPhone/Android/iPad, AI Noise Reduction, 30H Battery, 200ft Range, Plug & Play for Recording, Vlogging, Streaming",Audio Array,IN,"₹ 6,437.28",4,₹ 0.00,₹ 0.00,4,2
FBA75676,AM-C4,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",Audio Array,IN,"₹ 6,394.91",4,₹ 0.00,₹ 0.00,4,
FBA79064,AA-25,B0CJR76Y7G,"Audio Array AA-25 Handheld Microphone Interview Adapter for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",Audio Array,IN,"₹ 6,263.56",9,₹ 0.00,₹ 0.00,8,4
FBA79108,AM-W16,B0CM9L1QZG,"Audio Array AM-W16 Solo Wireless Lapel Over Ear Mic|in-Built ANC,Plug N Play,LongBattery Life,Ultra-Low Latency,Upto 30M Range|Compatible with iPhone&Android|Vlogging,Streaming,Teaching,YouTube,Black",Audio Array,IN,"₹ 5,716.10",5,₹ 0.00,₹ 0.00,6,
FBA79847,PB-09 (AM-C45 + AI-06 + AA-05),B0FN7FYZM3,"Audio Array RGB Gaming Mic Bundle with USB/XLR Microphone, Boom Arm & Sound Card Mixer | Streaming Mic Kit with Voice Effects, AI Noise Cancel, RGB Lights for Podcasting, Gaming & Recording - PB-09",Audio Array,IN,"₹ 5,416.58",1,₹ 0.00,₹ 0.00,1,
FBA76723,AM-C20,B0BLKF46QG,"Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",Audio Array,IN,"₹ 4,548.30",4,₹ 0.00,₹ 0.00,2,2
FBA79356,AA-19WL,B0D3Q2T5XX,Audio Array AA-19WL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | White,Audio Array,IN,"₹ 4,236.44",1,₹ 0.00,₹ 0.00,1,
FBK79009,AM-C41,B0FLYHJ6DK,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,"₹ 4,116.10",3,₹ 0.00,₹ 0.00,3,1
FBA79815,AM-W19,B0FPR7VFCH,"Audio Array AM-W19 Wireless Lavalier Microphone|192kHz/24bit |AI Noise Cancellation for iPhone/Android, 32h Charging Case, Plug & Play for Vlogging, Streaming, Meetings, Video Recording",Audio Array,IN,"₹ 3,388.13",2,₹ 0.00,₹ 0.00,2,1
FBA79008,AI-06,B0CH4RT4P8,"Audio Array AI-06 Streaming Audio Mixer Sound Card | XLR, 1/4"" & line in | PC/Phone RGB Mixer with Volume Fader, Individual Control, Mute and Monitoring, 48V Phantom Power | Stream, Podcast & Karaoke",Audio Array,IN,"₹ 2,566.95",1,₹ 0.00,₹ 0.00,1,
FBA78961,AM-C40,B0CBCB9S14,"Audio Array AM-C40 Large Diaphragm USB Condenser Microphone Kit | Boom Arm & Pop-Filter | 96kHz/24bit No Latency Headphone Monitoring with Mute & Volume Control Knob | Singing, Podcasting & Streaming",Audio Array,IN,"₹ 2,011.86",1,₹ 0.00,₹ 0.00,1,1
FBK79010,AM-C42,B0FLYJFC22,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,₹ 0.00,0,,,,2
FBA79965,AM-Mix6,B0G53PRM34,"Audio Array AM-Mix6 6-Channel Hybrid USB Audio Mixer with 6 Analog + 2 Digital Inputs, 48kHz/16-Bit, +50dB Mic Gain, PAD Switch, Dual AUX Sends,128 DSP FX, Balanced XLR Main Output, ≥102dB Max SPL",Audio Array,IN,₹ 0.00,0,,,,
FBA76716,AM-C13,B0BLK8DNPD,Audio Array AM-C13 Condenser Lapel Microphone | 6M Shielded Cable | Metal Build | Plug n Play Mobile & DSLR Support | 3.5mm Connector | Omnidirectional Pickup | Hard Case Included | 1 Year Warranty.,Audio Array,IN,₹ 0.00,0,,,,
FBA79963,AM-Pro8,B0G53CB72D,"Audio Array AM-Pro8 8-Channel Hybrid USB Mixer 8 Analog+2 Digital Inputs, 48kHz/16-Bit, Built-In Compressor, 6AUX Sends, Group Buses, Insert Points,+24dBu Balanced Outputs for Live, Studio & Broadcast",Audio Array,IN,₹ 0.00,0,,,,
